record_type,timestamp,model_id,engine,revision,model_bytes,quantization,mlx_version,mlx_vlm_version,chip,memory_bytes,artifact,profile,case_id,category,task_kind,tier,status,error,recommended,score,passed,total,agent_finished,agent_steps,requested_context_tokens,actual_context_tokens,max_new_tokens,temperature,top_p,kv_bits,kv_quant_scheme,max_kv_size,prefill_step_size,needle_pass,prompt_tokens,generation_tokens,cached_tokens,prompt_tps,generation_tps,peak_memory_gb,elapsed_seconds,wall_seconds,finish_reason,output_sha256
variant,,mlx-community/Laguna-S-2.1-oQ2e,,,36228049141,2.70 effective,,,,,,,,,,,experimental,,True,,,,,,,,,,,,,,,,,,,,,,,,,
variant,,mlx-community/Laguna-S-2.1-oQ3e,,,49241800048,3.59 effective,,,,,,,,,,,community; complete,,True,,,,,,,,,,,,,,,,,,,,,,,,,
variant,,mlx-community/Laguna-S-2.1-oQ4e,,,,4.x effective,,,,,,,,,,,upload incomplete when catalogued,,False,,,,,,,,,,,,,,,,,,,,,,,,,
variant,,Vontra/Laguna-S-2.1-MLX-4bit,,,66153233776,4,,,,,,,,,,,incompatible: gate quantization shape mismatch in mlx-vlm 0.6.6,,False,,,,,,,,,,,,,,,,,,,,,,,,,
variant,,poolside/Laguna-S-2.1-NVFP4-mlx,,,71908489953,NVFP4,,,,,,,,,,,official testing-only,,True,,,,,,,,,,,,,,,,,,,,,,,,,
variant,,Vontra/Laguna-S-2.1-MLX-6bit,,,95541547499,6,,,,,,,,,,,community; memory-margin risk,,False,,,,,,,,,,,,,,,,,,,,,,,,,
variant,,Vontra/Laguna-S-2.1-MLX-8bit,,,124919123804,8,,,,,,,,,,,not recommended on 128 GB,,False,,,,,,,,,,,,,,,,,,,,,,,,,
variant,,pipenetwork/Laguna-S-2.1-MLX-4bit,,,66153233776,4,,,,,,,,,,,incompatible: 141 unexpected router parameters in mlx-vlm 0.6.6,,False,,,,,,,,,,,,,,,,,,,,,,,,,
variant,,pipenetwork/Laguna-S-2.1-MLX-6bit,,,95541547499,6,,,,,,,,,,,community duplicate conversion; memory-margin risk,,False,,,,,,,,,,,,,,,,,,,,,,,,,
variant,,pipenetwork/Laguna-S-2.1-MLX-8bit,,,124919123804,8,,,,,,,,,,,not recommended on 128 GB; insufficient runtime headroom,,False,,,,,,,,,,,,,,,,,,,,,,,,,
